위치,지역구명,자전거 전용도로 노선수,자전거 전용도로 길이,자전거보행자 겸용도로 노선수,자전거보행자 겸용도로 길이,자전거 전용차로 노선수,자전거 전용차로 길이,자전거우선도로 노선수,자전거우선도로 길이
도로변,종로구,1,4.2,13,10.9,13,6.9,16,10.1
도로변,중구,1,4.2,6,7.5,0,0,14,10.7
도로변,용산구,5,1.9,11,10.2,0,0,10,20.4
도로변,성동구,2,1.7,18,15.9,3,2,9,8.2
도로변,광진구,1,0.2,43,43.2,1,0.3,5,4.6
도로변,동대문구,5,2.8,12,7.5,0,0,16,27.4
도로변,중랑구,10,3.7,12,6,0,0,0,0
도로변,성북구,15,6.6,9,7,5,2.9,1,0.4
도로변,강북구,0,0,3,3.2,5,5.5,0,0
도로변,도봉구,2,1.4,6,11.5,0,0,0,0
도로변,노원구,5,2.3,28,28.2,11,13.2,0,0
도로변,은평구,1,0.4,30,39.6,2,4.6,0,0
도로변,서대문구,0,0,17,7.7,4,1.8,26,21.9
도로변,마포구,7,6.2,14,14.2,12,7.4,30,39.6
도로변,양천구,31,20.6,43,30.1,0,0,4,5.8
도로변,강서구,36,32.2,47,40.3,0,0,2,4.6
도로변,구로구,4,1.8,38,24.7,0,0,2,1
도로변,금천구,3,2.6,17,6.6,0,0,0,0
도로변,영등포구,7,4.2,19,7.3,35,19.9,29,31.8
도로변,동작구,0,0,15,13.6,0,0,2,0.8
도로변,관악구,3,4.7,8,19.6,0,0,8,3.4
도로변,서초구,1,2.1,41,34.9,4,4.1,0,0
도로변,강남구,11,8.8,97,98.7,4,3,0,0
도로변,송파구,44,19.5,141,76.2,2,1.8,0,0
도로변,강동구,18,17.5,75,56.4,1,0.6,0,0
기타,교량,1,1.1,9,7.8,0,0,0,0
기타,하천,10,28.1,40,239.3,0,0,0,0
기타,공원,1,1,2,3.6,0,0,0,0
